id,tenant_id,request_id,ocr_result_id,input_type,user_document_date,user_payment_amount,user_currency_code,user_client_name,input_summary,expense_account_item_id,registered_at,deleted_at
01JNCW0ASXS2NR6FN09CYNZ59G,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JNCW0AQRWT4X0WXKEY5NYY68,01JNCW0ASZM5JGXR7Y7KQRFC0S,upload,2024/7/20,2030,JPY,"フジタクシーグループ
",,01JN39WJ5578B3ZDQPXVCCKS5C,2025/3/3 2:05,
01JNCX0EK3RHMCQ88ZCG529YMH,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JNCX0EH6PSNEYEVJ584R0GRQ,01JNCX0EK8GD928VCT6YPK3BP3,upload,2024/7/19,1390,JPY,福岡エムケイ株式会社,,01JN39WJ5578B3ZDQPXVCCKS5C,2025/3/3 2:22,
01JNCX53J3K5G7R4351YG86SPE,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JNCX53F9KDP8CH9SVNSY5V23,01JNCX53J6FBETVPY629V75X0M,upload,2024/7/20,2030,JPY,"フジタクシーグループ
",,01JN39WJ5578B3ZDQPXVCCKS5C,2025/3/3 2:25,
01JNCXRRVP8CAP2YGT2T0SSJYS,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JNCXRRS9K4XN0Y12ND1GES26,01JNCXRRVTM8GR0A4TNEFJP1H5,upload,2024/7/22,1230,JPY,株式会社三興タクシー,,01JN39WJ5578B3ZDQPXVCCKS5C,2025/3/3 2:36,
01JNCYJ7ZMSBAETNFH1DCE9AE2,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JNCYJ7WRNNV72Y1MEP2N52H8,01JNCYJ7ZRW9XX3Y13WMNZN8G0,upload,2021/2/23,3530,JPY,東日本旅客鉄道株式会�?,01JN39W8VVSEBGNBZD5TARX8JE,2025/3/3 2:50,,
01JNCYSEXY7GS4RRG9Q0RSFCD3,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JNCYSETQYME20DYX95D5JDNA,01JNCYSEY4XW8MZRPMHAT6H5FN,upload,2025/2/24,1641,JPY,SHINJUKU Takashimaya,,01JN39VFN2YY6Y21VAQFHCVCBR,2025/3/3 2:54,
01JNCYY8VZ6GXHVN921QX42B55,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JNCYY8SHSGQHHA4MBQZWPPJC,01JNCYY8W2GNE0D9MCTAKZYHZW,upload,2025/2/2,2252,JPY,ミネ医薬品株式会�?,01JN39ZH1TKKNE09GR1D6S1J5K,2025/3/3 2:56,,
01JNCZ2154XEHF3T0NS9MCXPVB,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JNCZ2135V00AVZNSENNND5SA,01JNCZ21575MGCEKT958RM35CJ,upload,2025/2/24,5880,JPY,"ew.note
",,01JN39ZH1TKKNE09GR1D6S1J5K,2025/3/3 2:58,
01JNCZBFCDMCGMJ5BDH3HN5Q2K,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JNCZBFAAJDTMHCTH2SYT9821,01JNCZBFCK3Y1G9J3D9R1RD316,upload,2025/2/16,384,JPY,Bio c'Bon,,01JN39VFN2YY6Y21VAQFHCVCBR,2025/3/3 3:03,
01JND0PFEN74258B7RCHY6HABA,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JND0PFCCQFQWKKE56JCG8NMF,01JND0PFETRDP1T9AYRPNZ8SPB,upload,2025/1/2,590,JPY,MOM S 渋谷�?,01JN39VFN2YY6Y21VAQFHCVCBR,2025/3/3 3:27,,
01JND0VR1FFC2Q64EJSV019XWJ,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JND0VQYX2G0958EP73TVY6MY,01JND0VR1KWNSRNTFNETD565FM,upload,2024/11/17,230,JPY,芦野温泉,,01JN39ZH1TKKNE09GR1D6S1J5K,2025/3/3 3:30,
01JND135HHQQN4E3H5PFKPXJEX,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JND135FBXZ0K14JPNMZPAGH2,01JND135HMQCWZ5DKMCHDTM9S8,upload,2023/1/28,80001,JPY,Four Seasons Hotel Tokyo at Otemachi,,01JN3B0KS0PC94QGC1XCYZ90HR,2025/3/3 3:34,
01JND1JNZ1C1E2QV9EZFQJXDYR,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JND1JNPSG2FF0VJSGEFAEADV,01JND1JNZ9K0PM62G810NH2ENZ,upload,2024/12/20,11400,JPY,KAGARIBI,,01JN3B0KS0PC94QGC1XCYZ90HR,2025/3/3 3:42,
01JND1TMSDAQ5W03KHQ6GSVX5Z,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JND1TMQJHG9RJ5RE9NAD2A17,01JND1TMSF5ENZ3D4SZ740H6KS,upload,2025/1/12,13658,JPY,能登の夜�?,01JN3B0KS0PC94QGC1XCYZ90HR,2025/3/3 3:47,,
01JND22VB05ARKDRGHSFCDX211,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JND22V8AN1XP95QKEQRS9XF8,01JND22VB4CM8DAX10R8DVQSF0,upload,2025/2/4,28000,JPY,"築地いなせや
",,01JN3B0KS0PC94QGC1XCYZ90HR,2025/3/3 3:51,
01JND64S919TZKE4NRRQVDWYM4,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JND64S6BZZFHDXZF7RKYVA2Z,01JND64S95BMFYESYG0AJZFHTV,upload,2024/11/17,642,JPY,日の丸サンズ株式会社,,01JN39VFN2YY6Y21VAQFHCVCBR,2025/3/3 5:02,
01JND6PKEBEK8ME2YGKEJY8TW6,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JND6PKC28MD4FKY9QS82KFHG,01JND6PKEEEXGHEDKTMW7730QM,upload,2025/1/16,25575,JPY,水刺�?恵比寿本�?,01JN3B0KS0PC94QGC1XCYZ90HR,2025/3/3 5:12,,
01JND6QG9TXR642EZQNSBK1472,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JND6QG70YFEPKDK9E21WA30A,01JND6QG9XA1HKD60H12QXZFRT,upload,2024/12/30,4600,JPY,Cocolo Kitchen KYOTO,,01JN3B4RRYWP5BAGY59ZZDDRDZ,2025/3/3 5:12,
01JND71BXWD5DEX1GKHFJ375Z1,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JND71BWA8Z5VC941N47M8W58,01JND71BXZPCVRYEBKP3NX1KCY,upload,2024/11/15,3780,JPY,フクモチック有限会社,,01JN39VFN2YY6Y21VAQFHCVCBR,2025/3/3 5:18,
01JND7QA60AV7P325MKHACEGVJ,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JND7QA3TBSENYD88FJWNKT31,01JND7QA63S8TD48EFBZGNKEXB,upload,2025/1/11,1810,JPY,株式会社SNOWBALL,,01JN39VFN2YY6Y21VAQFHCVCBR,2025/3/3 5:30,
01JND7RSE55ASXR38BZ692FRC0,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JND7RSC2QG345XJCP3593XP4,01JND7RSE7H6DNYCXNA72W4HGQ,upload,2024/4/1,4470,JPY,小山酒店,,01JN3B4RRYWP5BAGY59ZZDDRDZ,2025/3/3 5:30,
01JND85NQCPNE2W427N8SXD8W1,61b79418-aa3e-4032-8b1f-bee8166ff6f9,01JND85NNJNBYZJ1XQFP5NTHQJ,01JND85NQEBBW34QSX08ARHEV7,upload,2024/4/1,2166,JPY,アマゾンジャパン合同会社,,01JN3B4RRYWP5BAGY59ZZDDRDZ,2025/3/3 5:37,
