StudentID,ClassID,Timestamp,Attention_score,Average_Attention_score
10,1,2024-12-13T09:00,78.38,70.3
10,1,2024-12-13T09:20,78.6,71.51
10,1,2024-12-13T09:40,66.66,70.32
10,1,2024-12-13T10:00,75.28,70.5
10,1,2024-12-13T10:20,69.46,69.13
11,1,2024-12-13T09:00,71.42,70.3
11,1,2024-12-13T09:20,75.55,71.51
11,1,2024-12-13T09:40,76,70.32
11,1,2024-12-13T10:00,58.6,70.5
11,1,2024-12-13T10:20,77.02,69.13
12,1,2024-12-13T09:00,77.68,70.3
12,1,2024-12-13T09:20,69.58,71.51
12,1,2024-12-13T09:40,71.73,70.32
12,1,2024-12-13T10:00,69.01,70.5
12,1,2024-12-13T10:20,61.6,69.13
